Player,Season,MVP_Points,GP,MPG,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,USG_PCT,OFF_RATING,DEF_RATING,NET_RATING,PIE,TEAM,TEAM_RECORD,PAST_MVP_WINNER
Shaquille O'Neal,1999-00,1207.0,79,40.1,29.7,13.6,3.8,0.5,3.0,57.4,0.0,52.4,,,,,,LAL,66-13,False
Kevin Garnett,1999-00,408.0,81,40.1,22.9,11.8,5.0,1.5,1.6,49.7,37.0,76.5,,,,,,MIN,50-31,False
Alonzo Mourning,1999-00,367.0,79,34.7,21.7,9.5,1.6,0.5,3.7,55.1,0.0,71.1,,,,,,MIA,50-29,False
Karl Malone,1999-00,312.0,82,35.9,25.5,9.5,3.7,1.0,0.9,50.9,25.0,79.7,,,,,,UTA,55-27,False
Tim Duncan,1999-00,248.0,74,38.9,23.2,12.4,3.2,0.9,2.2,49.0,9.1,76.1,,,,,,SAS,48-26,False
Gary Payton,1999-00,180.0,82,41.8,24.2,6.5,8.9,1.9,0.2,44.8,34.0,73.5,,,,,,SEA,45-37,False
Allen Iverson,1999-00,132.0,70,40.8,28.4,3.8,4.7,2.1,0.1,42.1,34.1,71.3,,,,,,PHI,42-28,False
Grant Hill,1999-00,113.0,74,37.6,25.8,6.6,5.2,1.4,0.6,48.9,34.7,79.5,,,,,,DET,40-34,False
Allen Iverson,2000-01,1121.0,71,42.0,31.1,3.8,4.6,2.5,0.3,42.0,32.0,81.4,,,,,,PHI,50-21,False
Tim Duncan,2000-01,706.0,82,38.7,22.2,12.2,3.0,0.9,2.3,49.9,25.9,61.8,,,,,,SAS,58-24,False
Shaquille O'Neal,2000-01,578.0,74,39.5,28.7,12.7,3.7,0.6,2.8,57.2,0.0,51.3,,,,,,LAL,51-23,False
Chris Webber,2000-01,521.0,70,40.5,27.1,11.1,4.2,1.3,1.7,48.1,7.1,70.3,,,,,,SAC,48-22,False
Kevin Garnett,2000-01,151.0,81,39.6,22.0,11.4,5.0,1.4,1.8,47.7,28.8,76.4,,,,,,MIN,47-34,False
Tim Duncan,2001-02,954.0,82,40.6,25.5,12.7,3.7,0.7,2.5,50.8,10.0,79.9,,,,,,SAS,58-24,False
Jason Kidd,2001-02,897.0,82,37.3,14.7,7.3,9.9,2.1,0.2,39.1,32.1,81.4,,,,,,NJN,52-30,False
Shaquille O'Neal,2001-02,696.0,67,36.2,27.2,10.7,3.0,0.6,2.0,57.9,0.0,55.5,,,,,,LAL,51-16,True
Tracy McGrady,2001-02,390.0,76,38.3,25.6,7.9,5.3,1.6,1.0,45.1,36.4,74.8,,,,,,ORL,43-33,False
Tim Duncan,2002-03,962.0,81,39.3,23.3,12.9,3.9,0.7,2.9,51.3,27.3,71.0,,,,,,SAS,60-21,False
Kevin Garnett,2002-03,871.0,82,40.5,23.0,13.4,6.0,1.4,1.6,50.2,28.2,75.1,,,,,,MIN,51-31,False
Kobe Bryant,2002-03,496.0,82,41.5,30.0,6.9,5.9,2.2,0.8,45.1,38.3,84.3,,,,,,LAL,50-32,False
Tracy McGrady,2002-03,427.0,75,39.4,32.1,6.5,5.5,1.7,0.8,45.7,38.6,79.3,,,,,,ORL,39-36,False
Shaquille O'Neal,2002-03,126.0,67,37.8,27.5,11.1,3.1,0.6,2.4,57.4,0.0,62.2,,,,,,LAL,45-22,True
Kevin Garnett,2003-04,1219.0,82,39.4,24.2,13.9,5.0,1.5,2.2,49.9,25.6,79.1,,,,,,MIN,58-24,False
Tim Duncan,2003-04,716.0,69,36.6,22.3,12.4,3.1,0.9,2.7,50.1,16.7,59.9,,,,,,SAS,51-18,True
Jermaine O'Neal,2003-04,523.0,78,35.8,20.1,10.0,2.1,0.8,2.6,43.4,11.1,75.7,,,,,,IND,57-21,False
Kobe Bryant,2003-04,212.0,65,37.7,24.0,5.5,5.1,1.7,0.4,43.8,32.7,85.2,,,,,,LAL,48-17,False
Shaquille O'Neal,2003-04,178.0,67,36.7,21.5,11.5,2.9,0.5,2.5,58.4,0.0,49.0,,,,,,LAL,49-18,True
Steve Nash,2004-05,1066.0,75,34.3,15.5,3.3,11.5,1.0,0.1,50.2,43.1,88.7,,,,,,PHO,60-15,False
Shaquille O'Neal,2004-05,1032.0,73,34.1,22.9,10.4,2.7,0.5,2.3,60.1,0.0,46.1,,,,,,MIA,53-20,True
Dirk Nowitzki,2004-05,349.0,78,38.7,26.1,9.7,3.1,1.2,1.5,45.9,39.9,86.9,,,,,,DAL,56-22,False
Tim Duncan,2004-05,328.0,66,33.4,20.3,11.1,2.7,0.7,2.6,49.6,33.3,67.0,,,,,,SAS,50-16,True
Allen Iverson,2004-05,240.0,75,42.3,30.7,4.0,7.9,2.4,0.1,42.4,30.8,83.5,,,,,,PHI,41-34,True
Steve Nash,2005-06,924.0,79,35.3,18.8,4.2,10.5,0.8,0.2,51.2,43.9,92.1,,,,,,PHX,54-25,False
LeBron James,2005-06,688.0,79,42.5,31.4,7.0,6.6,1.6,0.8,48.0,33.5,73.8,,,,,,CLE,47-32,False
Dirk Nowitzki,2005-06,544.0,81,37.9,26.6,9.0,2.8,0.7,1.0,48.0,40.6,90.1,,,,,,DAL,60-21,False
Kobe Bryant,2005-06,483.0,80,40.8,35.4,5.3,4.5,1.8,0.4,45.0,34.7,85.0,,,,,,LAL,45-35,False
Chauncey Billups,2005-06,430.0,81,36.0,18.5,3.1,8.6,0.9,0.1,41.8,43.3,89.4,,,,,,DET,64-17,False
Dirk Nowitzki,2006-07,1138.0,78,36.0,24.6,8.9,3.4,0.7,0.8,50.2,41.6,90.4,,,,,,DAL,64-14,False
Steve Nash,2006-07,1013.0,76,35.2,18.6,3.5,11.6,0.8,0.1,53.2,45.5,89.9,,,,,,PHX,59-17,True
Kobe Bryant,2006-07,521.0,77,40.7,31.6,5.7,5.4,1.4,0.5,46.3,34.4,86.8,,,,,,LAL,39-38,False
Tim Duncan,2006-07,286.0,80,34.0,20.0,10.6,3.4,0.8,2.4,54.6,11.1,63.7,,,,,,SAS,58-22,True
LeBron James,2006-07,183.0,78,40.9,27.3,6.7,6.0,1.6,0.7,47.6,31.9,69.8,,,,,,CLE,47-31,False
Tracy McGrady,2006-07,110.0,71,35.3,24.6,5.3,6.5,1.3,0.5,43.1,33.1,70.7,,,,,,HOU,50-21,False
Kobe Bryant,2007-08,1100.0,82,38.9,28.3,6.3,5.4,1.8,0.5,45.9,36.1,84.0,,,,,,LAL,57-25,False
Chris Paul,2007-08,894.0,80,37.6,21.1,4.0,11.6,2.7,0.1,48.8,36.9,85.1,,,,,,NOH,55-25,False
Kevin Garnett,2007-08,670.0,71,32.8,18.8,9.2,3.4,1.4,1.3,53.9,0.0,80.1,,,,,,BOS,57-14,True
LeBron James,2007-08,438.0,75,40.4,30.0,7.9,7.2,1.8,1.1,48.4,31.5,71.2,,,,,,CLE,45-30,False
LeBron James,2008-09,1172.0,81,37.7,28.4,7.6,7.2,1.7,1.1,48.9,34.4,78.0,,,,,,CLE,66-15,False
Kobe Bryant,2008-09,698.0,82,36.1,26.8,5.2,4.9,1.5,0.5,46.7,35.1,85.6,,,,,,LAL,65-17,False
Dwyane Wade,2008-09,680.0,79,38.6,30.2,5.0,7.5,2.2,1.3,49.1,31.7,76.5,,,,,,MIA,42-37,False
Dwight Howard,2008-09,328.0,79,35.7,20.6,13.8,1.4,1.0,2.9,57.2,0.0,59.4,,,,,,ORL,57-22,False
Chris Paul,2008-09,192.0,78,38.5,22.8,5.5,11.0,2.8,0.1,50.3,36.4,86.8,,,,,,NOH,47-31,False
LeBron James,2009-10,1205.0,76,39.1,29.7,7.3,8.6,1.6,1.0,50.3,33.3,76.7,,,,,,CLE,60-16,False
Kevin Durant,2009-10,609.0,82,39.5,30.1,7.6,2.8,1.4,1.0,47.6,36.5,90.0,,,,,,OKC,50-32,False
Kobe Bryant,2009-10,599.0,73,38.8,27.0,5.4,5.0,1.5,0.3,45.6,32.9,81.1,,,,,,LAL,51-22,True
Dwight Howard,2009-10,478.0,82,34.7,18.3,13.2,1.8,0.9,2.8,61.2,0.0,59.2,,,,,,ORL,59-23,False
Dwyane Wade,2009-10,119.0,77,36.3,26.6,4.8,6.5,1.8,1.1,47.6,30.0,76.1,,,,,,MIA,45-32,False
Derrick Rose,2010-11,1182.0,81,37.4,25.0,4.1,7.7,1.0,0.6,44.5,33.2,85.8,,,,,,CHI,62-19,False
Dwight Howard,2010-11,643.0,78,37.6,22.9,14.1,1.4,1.4,2.4,59.3,0.0,59.6,,,,,,ORL,51-27,False
LeBron James,2010-11,522.0,79,38.8,26.7,7.5,7.0,1.6,0.6,51.0,33.0,75.9,,,,,,MIA,57-22,True
Kobe Bryant,2010-11,428.0,82,33.9,25.3,5.1,4.7,1.2,0.1,45.1,32.3,82.8,,,,,,LAL,57-25,True
Kevin Durant,2010-11,190.0,78,38.9,27.7,6.8,2.7,1.1,1.0,46.2,35.0,88.0,,,,,,OKC,52-26,False
Dirk Nowitzki,2010-11,113.0,73,34.3,23.0,7.0,2.6,0.5,0.6,51.7,39.3,89.2,,,,,,DAL,55-18,True
LeBron James,2011-12,1074.0,62,37.5,27.1,7.9,6.2,1.9,0.8,53.1,36.2,77.1,,,,,,MIA,45-17,True
Kevin Durant,2011-12,889.0,66,38.6,28.0,8.0,3.5,1.3,1.2,49.6,38.7,86.0,,,,,,OKC,47-19,False
Chris Paul,2011-12,385.0,60,36.4,19.8,3.5,9.1,2.5,0.1,47.8,37.1,86.1,,,,,,LAC,37-23,False
Kobe Bryant,2011-12,352.0,58,38.5,27.9,5.4,4.6,1.2,0.3,43.0,30.3,84.5,,,,,,LAL,36-22,True
Tony Parker,2011-12,331.0,60,32.0,18.2,2.9,7.7,0.9,0.1,48.0,23.0,79.9,,,,,,SAS,47-13,False
LeBron James,2012-13,1207.0,76,37.9,26.8,8.0,7.2,1.7,0.9,56.5,40.6,75.3,,,,,,MIA,61-15,True
Kevin Durant,2012-13,765.0,81,38.5,28.1,7.9,4.6,1.4,1.3,51.0,41.6,90.5,,,,,,OKC,60-21,False
Carmelo Anthony,2012-13,475.0,67,37.0,28.7,6.9,2.6,0.8,0.5,44.9,37.9,83.0,,,,,,NYK,47-20,False
Chris Paul,2012-13,289.0,70,33.4,16.9,3.7,9.7,2.4,0.1,48.1,32.8,88.5,,,,,,LAC,50-20,False
Kobe Bryant,2012-13,184.0,78,38.7,27.3,5.6,6.0,1.4,0.3,46.3,32.4,83.9,,,,,,LAL,42-36,True
Kevin Durant,2013-14,1232.0,81,38.5,32.0,7.4,5.5,1.3,0.7,50.3,39.1,87.3,,,,,,OKC,58-23,False
LeBron James,2013-14,891.0,77,37.7,27.1,6.9,6.3,1.6,0.3,56.7,37.9,75.0,,,,,,MIA,52-25,True
Blake Griffin,2013-14,434.0,80,35.8,24.1,9.5,3.9,1.1,0.6,52.8,27.3,71.5,,,,,,LAC,56-24,False
Joakim Noah,2013-14,322.0,80,35.2,12.6,11.2,5.4,1.2,1.5,47.5,0.0,73.7,,,,,,CHI,48-32,False
Stephen Curry,2014-15,1198.0,80,32.7,23.8,4.3,7.7,2.0,0.2,48.7,44.3,91.4,,,,,,GSW,67-13,False
James Harden,2014-15,936.0,81,36.8,27.4,5.7,7.0,1.9,0.7,44.0,37.5,86.8,,,,,,HOU,56-25,False
LeBron James,2014-15,552.0,69,36.1,25.3,6.0,7.4,1.6,0.7,48.8,35.4,71.0,,,,,,CLE,50-19,True
Russell Westbrook,2014-15,352.0,67,34.4,28.1,7.3,8.6,2.1,0.2,42.6,29.9,83.5,,,,,,OKC,40-27,False
Anthony Davis,2014-15,203.0,68,36.2,24.4,10.2,2.2,1.5,2.9,53.5,8.3,80.5,,,,,,NOP,39-29,False
Chris Paul,2014-15,124.0,82,34.9,19.1,4.6,10.2,1.9,0.2,48.5,39.8,90.0,,,,,,LAC,56-26,False
Stephen Curry,2015-16,1310.0,79,34.2,30.1,5.4,6.7,2.1,0.2,50.4,45.4,90.8,,,,,,GSW,71-8,False
Kawhi Leonard,2015-16,634.0,72,33.1,21.2,6.8,2.6,1.8,1.0,50.6,44.3,87.4,,,,,,SAS,60-12,False
LeBron James,2015-16,631.0,76,35.6,25.3,7.4,6.8,1.4,0.6,52.0,30.9,73.1,,,,,,CLE,56-20,True
Russell Westbrook,2015-16,486.0,80,34.4,23.5,7.8,10.4,2.0,0.2,45.4,29.6,81.2,,,,,,OKC,55-25,False
Kevin Durant,2015-16,147.0,72,35.8,28.2,8.2,5.0,1.0,1.2,50.5,38.7,89.8,,,,,,OKC,52-20,True
Chris Paul,2015-16,107.0,74,32.8,19.5,4.2,10.0,2.1,0.2,46.2,37.1,89.6,,,,,,LAC,50-24,False
Russell Westbrook,2016-17,888.0,81,34.6,31.6,10.7,10.4,1.6,0.4,42.5,34.3,84.5,,,,,,OKC,46-35,False
James Harden,2016-17,753.0,81,36.5,29.1,8.1,11.2,1.5,0.5,44.0,34.7,84.7,,,,,,HOU,54-27,False
Kawhi Leonard,2016-17,500.0,74,33.5,25.5,5.8,3.5,1.8,0.7,48.5,38.0,88.0,,,,,,SAS,54-20,False
LeBron James,2016-17,333.0,74,37.8,26.4,8.6,8.7,1.2,0.6,54.8,36.3,67.4,,,,,,CLE,51-23,True
James Harden,2017-18,965.0,72,35.4,30.4,5.4,8.8,1.8,0.7,44.9,36.7,85.8,,,,,,HOU,59-13,False
LeBron James,2017-18,738.0,82,36.9,27.5,8.6,9.1,1.4,0.9,54.2,36.7,73.1,,,,,,CLE,50-32,True
Anthony Davis,2017-18,445.0,75,36.4,28.1,11.1,2.3,1.5,2.6,53.4,34.0,82.8,,,,,,NOP,45-30,False
Damian Lillard,2017-18,207.0,73,36.6,26.9,4.5,6.6,1.1,0.4,43.9,36.1,91.6,,,,,,POR,44-29,False
Giannis Antetokounmpo,2018-19,941.0,72,32.8,27.7,12.5,5.9,1.3,1.5,57.8,25.6,72.9,,,,,,MIL,56-16,False
James Harden,2018-19,776.0,78,36.8,36.1,6.6,7.5,2.0,0.7,44.2,36.8,87.9,,,,,,HOU,51-27,False
Paul George,2018-19,356.0,77,36.9,28.0,8.2,4.1,2.2,0.4,43.8,38.6,83.9,,,,,,OKC,46-31,False
Nikola Jokić,2018-19,212.0,80,31.3,20.1,10.8,7.2,1.4,0.7,51.1,30.7,82.1,,,,,,DEN,53-27,False
Stephen Curry,2018-19,175.0,69,33.7,27.3,5.3,5.2,1.3,0.4,47.2,43.7,91.6,,,,,,GSW,52-17,True
Giannis Antetokounmpo,2019-20,962.0,63,30.4,29.5,13.6,5.6,1.0,1.0,55.3,30.4,63.3,,,,,,MIL,51-12,False
LeBron James,2019-20,753.0,67,34.6,25.3,7.8,10.2,1.2,0.5,49.3,34.8,69.3,,,,,,LAL,50-17,True
James Harden,2019-20,367.0,68,36.4,34.3,6.6,7.5,1.8,0.9,44.4,35.5,86.5,,,,,,HOU,43-25,True
Luka Dončić,2019-20,200.0,61,33.6,28.8,9.4,8.8,1.0,0.2,46.3,31.6,75.8,,,,,,DAL,36-25,False
Kawhi Leonard,2019-20,168.0,57,32.5,27.1,7.1,4.9,1.8,0.6,47.0,37.8,88.6,,,,,,LAC,41-16,False
Nikola Jokić,2020-21,971.0,72,34.6,26.4,10.8,8.3,1.3,0.7,56.6,38.8,86.8,,,,,,DEN,47-25,False
Joel Embiid,2020-21,586.0,51,31.2,28.5,10.6,2.8,1.0,1.4,51.3,37.7,85.9,,,,,,PHI,39-12,False
Stephen Curry,2020-21,453.0,63,34.2,32.0,5.5,5.8,1.2,0.1,48.2,42.1,91.6,,,,,,GSW,37-26,True
Giannis Antetokounmpo,2020-21,348.0,61,33.0,28.1,11.0,5.9,1.2,1.2,56.9,30.3,68.5,,,,,,MIL,40-21,True
Chris Paul,2020-21,139.0,70,31.4,16.4,4.5,8.9,1.4,0.3,49.9,39.5,93.4,,,,,,PHX,49-21,False
Nikola Jokić,2021-22,875.0,74,33.4,27.1,13.8,7.9,1.5,0.9,58.3,33.7,81.0,,,,,,DEN,46-28,False
Joel Embiid,2021-22,706.0,68,33.8,30.6,11.7,4.2,1.1,1.5,49.9,37.1,81.4,,,,,,PHI,45-23,False
Giannis Antetokounmpo,2021-22,595.0,67,32.9,29.9,11.6,5.8,1.1,1.4,55.3,29.3,72.2,,,,,,MIL,45-22,True
Devin Booker,2021-22,216.0,68,34.5,26.8,5.0,4.8,1.1,0.4,46.6,38.3,86.8,,,,,,PHX,56-12,False
Luka Dončić,2021-22,146.0,65,35.4,28.4,9.1,8.7,1.2,0.6,45.7,35.3,74.4,,,,,,DAL,44-21,False
Joel Embiid,2022-23,915.0,66,34.7,33.1,10.2,4.2,1.0,1.7,54.8,33.0,85.7,,,,,,PHI,43-23,False
Nikola Jokić,2022-23,674.0,69,33.7,24.5,11.8,9.8,1.3,0.7,63.2,38.3,82.2,,,,,,DEN,48-21,True
Giannis Antetokounmpo,2022-23,606.0,63,32.2,31.1,11.8,5.7,0.8,0.8,55.3,27.5,64.5,,,,,,MIL,47-16,True
Jayson Tatum,2022-23,280.0,74,36.9,30.1,8.8,4.6,1.1,0.7,46.6,35.0,85.4,,,,,,BOS,52-22,False
Nikola Jokić,2023-24,926.0,79,34.6,26.4,12.4,9.0,1.4,0.9,58.3,35.9,81.7,,,,,,DEN,55-24,True
Shai Gilgeous-Alexander,2023-24,640.0,75,34.1,30.1,5.5,6.2,2.0,0.9,53.5,35.3,87.4,,,,,,OKC,55-20,False
Luka Dončić,2023-24,566.0,70,37.5,33.9,9.2,9.8,1.4,0.5,48.7,38.2,78.6,,,,,,DAL,46-24,False
Giannis Antetokounmpo,2023-24,192.0,73,35.2,30.4,11.5,6.5,1.2,1.1,61.1,27.4,65.7,,,,,,MIL,45-28,True
Jalen Brunson,2023-24,142.0,77,35.4,28.7,3.6,6.7,0.9,0.2,47.9,40.1,84.7,,,,,,NYK,49-28,False
Shai Gilgeous-Alexander,2024-25,913.0,76,34.2,32.7,5.0,6.4,1.7,1.0,51.9,37.5,89.8,,,,,,OKC,63-13,False
Nikola Jokić,2024-25,787.0,70,36.8,29.6,12.7,10.2,1.8,0.6,57.6,41.7,80.0,,,,,,DEN,46-24,True
Giannis Antetokounmpo,2024-25,470.0,67,34.2,30.4,11.9,6.5,0.9,1.2,60.1,22.2,61.7,,,,,,MIL,40-27,True
Jayson Tatum,2024-25,311.0,72,36.4,26.8,8.7,6.0,1.1,0.5,45.2,34.3,81.4,,,,,,BOS,53-19,False
